,Ticker Symbol,Years,Period Ending,Total Revenue,Cost of Goods Sold,"Sales, General and Admin.",Research and Development,Other Operating Items,GICS Sector,GICS Sub Industry,Total Revenue_sum,Cost of Goods Sold_sum,"Sales, General and Admin._sum",Other Operating Items_sum,Research and Development_sum
33,ADM,Year 2,2013-12-31,89,85.0,1.759,,,Consumer Staples,Agricultural Products,327,310.0,7.340999999999999,0.0,0.0
34,ADM,Year 3,2014-12-31,81,76.0,1.907,,,Consumer Staples,Agricultural Products,327,310.0,7.340999999999999,0.0,0.0
35,ADM,Year 4,2015-12-31,67,63.0,2.01,,,Consumer Staples,Agricultural Products,327,310.0,7.340999999999999,0.0,0.0
36,ADS,Year 1,2012-12-31,3,2.0,0.108059,,0.166876,Information Technology,Data Processing & Outsourced Services,18,11.0,0.667632,1.188217,0.0
37,ADS,Year 2,2013-12-31,4,2.0,0.109115,,0.216119,Information Technology,Data Processing & Outsourced Services,18,11.0,0.667632,1.188217,0.0
38,ADS,Year 3,2014-12-31,5,3.0,0.247412,,0.313082,Information Technology,Data Processing & Outsourced Services,18,11.0,0.667632,1.188217,0.0
39,ADS,Year 4,2015-12-31,6,4.0,0.203046,,0.49214,Information Technology,Data Processing & Outsourced Services,18,11.0,0.667632,1.188217,0.0
40,ADSK,Year 1,2013-01-31,2,0.0,1.0818,0.6,0.0421,Information Technology,Application Software,8,0.0,4.7264,0.1516,2.7263
41,ADSK,Year 2,2014-01-31,2,0.0,1.0544,0.6111,0.0365,Information Technology,Application Software,8,0.0,4.7264,0.1516,2.7263
42,ADSK,Year 3,2015-01-31,2,0.0,1.2813,0.7252,0.0398,Information Technology,Application Software,8,0.0,4.7264,0.1516,2.7263
43,ADSK,Year 4,2016-01-31,2,0.0,1.3089,0.79,0.0332,Information Technology,Application Software,8,0.0,4.7264,0.1516,2.7263
44,AEE,Year 1,2012-12-31,5,3.0,0.443,,0.673,Utilities,MultiUtilities,22,12.0,1.911,2.92,0.0
45,AEE,Year 2,2013-12-31,5,3.0,0.458,,0.706,Utilities,MultiUtilities,22,12.0,1.911,2.92,0.0
46,AEE,Year 3,2014-12-31,6,3.0,0.468,,0.745,Utilities,MultiUtilities,22,12.0,1.911,2.92,0.0
47,AEE,Year 4,2015-12-31,6,3.0,0.542,,0.796,Utilities,MultiUtilities,22,12.0,1.911,2.92,0.0
48,AEP,Year 1,2012-12-31,14,6.0,3.812,,1.782,Utilities,Electric Utilities,60,26.0,14.4862,7.4018,0.0
49,AEP,Year 2,2013-12-31,14,6.0,3.3298,,1.7125,Utilities,Electric Utilities,60,26.0,14.4862,7.4018,0.0
50,AEP,Year 3,2014-12-31,16,7.0,3.6679,,1.8976,Utilities,Electric Utilities,60,26.0,14.4862,7.4018,0.0
51,AEP,Year 4,2015-12-31,16,7.0,3.6765,,2.0097,Utilities,Electric Utilities,60,26.0,14.4862,7.4018,0.0
52,AFL,Year 1,2012-12-31,25,17.0,,,3.727,Financials,Life & Health Insurance,90,59.0,0.0,14.435,0.0
53,AFL,Year 2,2013-12-31,23,15.0,,,3.489,Financials,Life & Health Insurance,90,59.0,0.0,14.435,0.0
54,AFL,Year 3,2014-12-31,22,14.0,,,3.547,Financials,Life & Health Insurance,90,59.0,0.0,14.435,0.0
55,AFL,Year 4,2015-12-31,20,13.0,,,3.672,Financials,Life & Health Insurance,90,59.0,0.0,14.435,0.0
56,AIG,Year 1,2012-12-31,71,37.0,21.491,,,Financials,Property & Casualty Insurance,261,140.0,78.404,0.0,0.0
57,AIG,Year 2,2013-12-31,68,34.0,22.005,,,Financials,Property & Casualty Insurance,261,140.0,78.404,0.0,0.0
58,AIG,Year 3,2014-12-31,64,33.0,18.491,,,Financials,Property & Casualty Insurance,261,140.0,78.404,0.0,0.0
59,AIG,Year 4,2015-12-31,58,36.0,16.417,,,Financials,Property & Casualty Insurance,261,140.0,78.404,0.0,0.0
60,AIV,Year 1,2012-12-31,0,0.0,0.061732,,0.325173,Real Estate,REITs,0,0.0,0.224972,1.205992,0.0
61,AIV,Year 2,2013-12-31,0,0.0,0.053073,,0.29191,Real Estate,REITs,0,0.0,0.224972,1.205992,0.0
62,AIV,Year 3,2014-12-31,0,0.0,0.056621,,0.282608,Real Estate,REITs,0,0.0,0.224972,1.205992,0.0
63,AIV,Year 4,2015-12-31,0,0.0,0.053546,,0.306301,Real Estate,REITs,0,0.0,0.224972,1.205992,0.0
64,AIZ,Year 1,2013-12-31,9,6.0,,,1.470287,Financials,Multi-line Insurance,36,27.0,0.0,5.709732,0.0
65,AIZ,Year 2,2014-12-31,10,8.0,,,1.485558,Financials,Multi-line Insurance,36,27.0,0.0,5.709732,0.0
66,AIZ,Year 3,2015-12-31,10,8.0,,,1.402573,Financials,Multi-line Insurance,36,27.0,0.0,5.709732,0.0
67,AIZ,Year 4,2016-12-31,7,5.0,,,1.351314,Financials,Multi-line Insurance,36,27.0,0.0,5.709732,0.0
68,AKAM,Year 1,2012-12-31,1,0.0,0.433448,0.074744,0.020962,Information Technology,Internet Software & Services,5,0.0,2.5031790000000003,0.101633,0.4425
69,AKAM,Year 2,2013-12-31,1,0.0,0.535598,0.093879,0.021547,Information Technology,Internet Software & Services,5,0.0,2.5031790000000003,0.101633,0.4425
70,AKAM,Year 3,2014-12-31,1,0.0,0.70488,0.125286,0.032057,Information Technology,Internet Software & Services,5,0.0,2.5031790000000003,0.101633,0.4425
71,AKAM,Year 4,2015-12-31,2,0.0,0.829253,0.148591,0.027067,Information Technology,Internet Software & Services,5,0.0,2.5031790000000003,0.101633,0.4425
72,ALB,Year 1,2012-12-31,2,1.0,0.308456,0.078919,,Materials,Specialty Chemicals,9,5.0,1.334054,0.0,0.352346
73,ALB,Year 2,2013-12-31,2,1.0,0.158189,0.082246,,Materials,Specialty Chemicals,9,5.0,1.334054,0.0,0.352346
74,ALB,Year 3,2014-12-31,2,1.0,0.355135,0.08831,,Materials,Specialty Chemicals,9,5.0,1.334054,0.0,0.352346
75,ALB,Year 4,2015-12-31,3,2.0,0.512274,0.102871,,Materials,Specialty Chemicals,9,5.0,1.334054,0.0,0.352346
76,ALK,Year 1,2012-12-31,4,2.0,1.542,,0.264,Industrials,Airlines,19,7.0,7.0649999999999995,1.1480000000000001,0.0
77,ALK,Year 2,2013-12-31,5,2.0,1.693,,0.27,Industrials,Airlines,19,7.0,7.0649999999999995,1.1480000000000001,0.0
78,ALK,Year 3,2014-12-31,5,2.0,1.817,,0.294,Industrials,Airlines,19,7.0,7.0649999999999995,1.1480000000000001,0.0
79,ALK,Year 4,2015-12-31,5,1.0,2.013,,0.32,Industrials,Airlines,19,7.0,7.0649999999999995,1.1480000000000001,0.0
80,ALL,Year 1,2012-12-31,33,21.0,,,8.002,Financials,Property & Casualty Insurance,137,83.0,2.958,33.312,0.0
81,ALL,Year 2,2013-12-31,34,19.0,1.278,,8.389,Financials,Property & Casualty Insurance,137,83.0,2.958,33.312,0.0
82,ALL,Year 3,2014-12-31,35,21.0,0.919,,8.476,Financials,Property & Casualty Insurance,137,83.0,2.958,33.312,0.0
83,ALL,Year 4,2015-12-31,35,22.0,0.761,,8.445,Financials,Property & Casualty Insurance,137,83.0,2.958,33.312,0.0
84,ALLE,Year 1,2013-12-31,2,1.0,0.4831,,,Industrials,Building Products,8,4.0,2.0808,0.0,0.0
85,ALLE,Year 2,2014-12-31,2,1.0,0.5274,,,Industrials,Building Products,8,4.0,2.0808,0.0,0.0
86,ALLE,Year 3,2015-12-31,2,1.0,0.5105,,,Industrials,Building Products,8,4.0,2.0808,0.0,0.0
87,ALLE,Year 4,2016-12-31,2,1.0,0.5598,,,Industrials,Building Products,8,4.0,2.0808,0.0,0.0
88,ALXN,Year 1,2013-12-31,1,0.0,0.493726,0.317093,0.000417,Health Care,Biotechnology,8,0.0,3.060726,0.439417,2.2970930000000003
89,ALXN,Year 2,2014-12-31,2,0.0,0.65,0.514,,Health Care,Biotechnology,8,0.0,3.060726,0.439417,2.2970930000000003
90,ALXN,Year 3,2015-12-31,2,0.0,0.927,0.709,0.117,Health Care,Biotechnology,8,0.0,3.060726,0.439417,2.2970930000000003
91,ALXN,Year 4,2016-12-31,3,0.0,0.99,0.757,0.322,Health Care,Biotechnology,8,0.0,3.060726,0.439417,2.2970930000000003
92,AMAT,Year 1,2013-10-27,7,4.0,0.898,1.32,,Information Technology,Semiconductor Equipment,35,20.0,3.42,0.0,5.739
93,AMAT,Year 2,2014-10-26,9,5.0,0.895,1.428,,Information Technology,Semiconductor Equipment,35,20.0,3.42,0.0,5.739
94,AMAT,Year 3,2015-10-25,9,5.0,0.808,1.451,,Information Technology,Semiconductor Equipment,35,20.0,3.42,0.0,5.739
95,AMAT,Year 4,2016-10-30,10,6.0,0.819,1.54,,Information Technology,Semiconductor Equipment,35,20.0,3.42,0.0,5.739
96,AME,Year 1,2012-12-31,3,2.0,0.380532,,0.053677,Industrials,Electrical Components & Equipment,13,8.0,1.689938,0.243346,0.0
97,AME,Year 2,2013-12-31,3,2.0,0.398177,,0.057238,Industrials,Electrical Components & Equipment,13,8.0,1.689938,0.243346,0.0
98,AME,Year 3,2014-12-31,4,2.0,0.462637,,0.063724,Industrials,Electrical Components & Equipment,13,8.0,1.689938,0.243346,0.0
99,AME,Year 4,2015-12-31,3,2.0,0.448592,,0.068707,Industrials,Electrical Components & Equipment,13,8.0,1.689938,0.243346,0.0
100,AMGN,Year 1,2013-12-31,18,3.0,5.38,4.083,,Health Care,Biotechnology,81,15.0,20.622999999999998,0.0,16.29
101,AMGN,Year 2,2014-12-31,20,4.0,5.153,4.297,,Health Care,Biotechnology,81,15.0,20.622999999999998,0.0,16.29
102,AMGN,Year 3,2015-12-31,21,4.0,4.895,4.07,,Health Care,Biotechnology,81,15.0,20.622999999999998,0.0,16.29
103,AMGN,Year 4,2016-12-31,22,4.0,5.195,3.84,,Health Care,Biotechnology,81,15.0,20.622999999999998,0.0,16.29
104,AMP,Year 1,2012-12-31,10,1.0,3.927,,2.877,Financials,Asset Management & Custody Banks,45,5.0,15.347,13.242,0.0
105,AMP,Year 2,2013-12-31,11,1.0,3.862,,3.132,Financials,Asset Management & Custody Banks,45,5.0,15.347,13.242,0.0
106,AMP,Year 3,2014-12-31,12,1.0,3.808,,3.603,Financials,Asset Management & Custody Banks,45,5.0,15.347,13.242,0.0
107,AMP,Year 4,2015-12-31,12,2.0,3.75,,3.63,Financials,Asset Management & Custody Banks,45,5.0,15.347,13.242,0.0
108,AMT,Year 1,2012-12-31,2,0.0,0.389486,,0.644276,Real Estate,Specialized REITs,13,2.0,1.9561600000000001,3.7335510000000003,0.0
109,AMT,Year 2,2013-12-31,3,0.0,0.487084,,0.800145,Real Estate,Specialized REITs,13,2.0,1.9561600000000001,3.7335510000000003,0.0
110,AMT,Year 3,2014-12-31,4,1.0,0.515059,,1.003802,Real Estate,Specialized REITs,13,2.0,1.9561600000000001,3.7335510000000003,0.0
111,AMT,Year 4,2015-12-31,4,1.0,0.564531,,1.285328,Real Estate,Specialized REITs,13,2.0,1.9561600000000001,3.7335510000000003,0.0
112,AMZN,Year 1,2013-12-31,74,54.0,19.526,,,Consumer Discretionary,Internet & Direct Marketing Retail,404,275.0,122.242,0.0,0.0
113,AMZN,Year 2,2014-12-31,88,62.0,26.058,,,Consumer Discretionary,Internet & Direct Marketing Retail,404,275.0,122.242,0.0,0.0
114,AMZN,Year 3,2015-12-31,107,71.0,33.122,,,Consumer Discretionary,Internet & Direct Marketing Retail,404,275.0,122.242,0.0,0.0
115,AMZN,Year 4,2016-12-31,135,88.0,43.536,,,Consumer Discretionary,Internet & Direct Marketing Retail,404,275.0,122.242,0.0,0.0
116,AN,Year 1,2013-12-31,17,14.0,1.9243,,0.0953,Consumer Discretionary,Specialty Stores,77,65.0,8.511199999999999,0.473,0.0
117,AN,Year 2,2014-12-31,19,16.0,2.061,,0.1069,Consumer Discretionary,Specialty Stores,77,65.0,8.511199999999999,0.473,0.0
118,AN,Year 3,2015-12-31,20,17.0,2.2456,,0.1274,Consumer Discretionary,Specialty Stores,77,65.0,8.511199999999999,0.473,0.0
119,AN,Year 4,2016-12-31,21,18.0,2.2803,,0.1434,Consumer Discretionary,Specialty Stores,77,65.0,8.511199999999999,0.473,0.0
120,ANTM,Year 1,2012-12-31,61,48.0,8.6805,,0.233,Health Care,Managed Health Care,284,221.0,42.9166,0.9293,0.0
121,ANTM,Year 2,2013-12-31,71,56.0,9.9529,,0.2453,Health Care,Managed Health Care,284,221.0,42.9166,0.9293,0.0
122,ANTM,Year 3,2014-12-31,73,56.0,11.7484,,0.2209,Health Care,Managed Health Care,284,221.0,42.9166,0.9293,0.0
123,ANTM,Year 4,2015-12-31,79,61.0,12.5348,,0.2301,Health Care,Managed Health Care,284,221.0,42.9166,0.9293,0.0
124,APA,Year 1,2012-12-31,16,3.0,1.333,,6.881,Energy,Oil & Gas Exploration & Production,48,9.0,4.505,51.839,0.0
125,APA,Year 2,2013-12-31,14,2.0,1.286,,5.866,Energy,Oil & Gas Exploration & Production,48,9.0,4.505,51.839,0.0
126,APA,Year 3,2014-12-31,12,2.0,1.095,,9.72,Energy,Oil & Gas Exploration & Production,48,9.0,4.505,51.839,0.0
127,APA,Year 4,2015-12-31,6,2.0,0.791,,29.372,Energy,Oil & Gas Exploration & Production,48,9.0,4.505,51.839,0.0
128,APC,Year 1,2013-12-31,14,2.0,2.256,,3.927,Energy,Oil & Gas Exploration & Production,47,10.0,9.075,17.381,0.0
129,APC,Year 2,2014-12-31,18,3.0,2.725,,4.55,Energy,Oil & Gas Exploration & Production,47,10.0,9.075,17.381,0.0
130,APC,Year 3,2015-12-31,8,3.0,2.0,,4.603,Energy,Oil & Gas Exploration & Production,47,10.0,9.075,17.381,0.0
131,APC,Year 4,2016-12-31,7,2.0,2.094,,4.301,Energy,Oil & Gas Exploration & Production,47,10.0,9.075,17.381,0.0
132,APD,Year 1,2013-09-30,10,7.0,1.0186,0.1337,,Materials,Industrial Gases,38,26.0,3.7189,0.0,0.5426
133,APD,Year 2,2014-09-30,10,7.0,1.0074,0.1398,,Materials,Industrial Gases,38,26.0,3.7189,0.0,0.5426
134,APD,Year 3,2015-09-30,9,6.0,0.8953,0.1371,,Materials,Industrial Gases,38,26.0,3.7189,0.0,0.5426
135,APD,Year 4,2016-09-30,9,6.0,0.7976,0.132,,Materials,Industrial Gases,38,26.0,3.7189,0.0,0.5426
136,APH,Year 1,2012-12-31,4,2.0,0.5129,,,Information Technology,Electronic Components,18,11.0,2.3751,0.0,0.0
137,APH,Year 2,2013-12-31,4,3.0,0.548,,,Information Technology,Electronic Components,18,11.0,2.3751,0.0,0.0
138,APH,Year 3,2014-12-31,5,3.0,0.6451,,,Information Technology,Electronic Components,18,11.0,2.3751,0.0,0.0
139,APH,Year 4,2015-12-31,5,3.0,0.6691,,,Information Technology,Electronic Components,18,11.0,2.3751,0.0,0.0
140,ARNC,Year 1,2012-12-31,23,20.0,0.997,0.197,1.46,Industrials,Aerospace & Defense,91,76.0,3.979,5.532,0.845
141,ARNC,Year 2,2013-12-31,23,19.0,1.008,0.192,1.421,Industrials,Aerospace & Defense,91,76.0,3.979,5.532,0.845
142,ARNC,Year 3,2014-12-31,23,19.0,0.995,0.218,1.371,Industrials,Aerospace & Defense,91,76.0,3.979,5.532,0.845
143,ARNC,Year 4,2015-12-31,22,18.0,0.979,0.238,1.28,Industrials,Aerospace & Defense,91,76.0,3.979,5.532,0.845
144,ATVI,Year 1,2012-12-31,4,1.0,1.139,0.604,,Information Technology,Home Entertainment Software,16,4.0,4.478,0.0,2.405
145,ATVI,Year 2,2013-12-31,4,1.0,1.096,0.584,,Information Technology,Home Entertainment Software,16,4.0,4.478,0.0,2.405
146,ATVI,Year 3,2014-12-31,4,1.0,1.129,0.571,,Information Technology,Home Entertainment Software,16,4.0,4.478,0.0,2.405
147,ATVI,Year 4,2015-12-31,4,1.0,1.114,0.646,,Information Technology,Home Entertainment Software,16,4.0,4.478,0.0,2.405
148,AVGO,Year 1,2015-11-01,6,3.0,0.486,1.049,0.249,Information Technology,Semiconductors,19,10.0,1.292,2.122,3.723
149,AVGO,Year 2,2016-10-30,13,7.0,0.806,2.674,1.873,Information Technology,Semiconductors,19,10.0,1.292,2.122,3.723
150,AVY,Year 1,2012-12-31,5,4.0,1.1489,,,Materials,Paper Packaging,22,16.0,4.5901,0.0,0.0
151,AVY,Year 2,2013-12-28,6,4.0,1.1742,,,Materials,Paper Packaging,22,16.0,4.5901,0.0,0.0
152,AVY,Year 3,2015-01-03,6,4.0,1.1589,,,Materials,Paper Packaging,22,16.0,4.5901,0.0,0.0
153,AVY,Year 4,2016-01-02,5,4.0,1.1081,,,Materials,Paper Packaging,22,16.0,4.5901,0.0,0.0
154,AWK,Year 1,2012-12-31,2,1.0,0.220758,,0.380402,Utilities,Water Utilities,10,4.0,0.933758,1.651402,0.0
155,AWK,Year 2,2013-12-31,2,1.0,0.234,,0.407,Utilities,Water Utilities,10,4.0,0.933758,1.651402,0.0
156,AWK,Year 3,2014-12-31,3,1.0,0.236,,0.424,Utilities,Water Utilities,10,4.0,0.933758,1.651402,0.0
157,AWK,Year 4,2015-12-31,3,1.0,0.243,,0.44,Utilities,Water Utilities,10,4.0,0.933758,1.651402,0.0
158,AXP,Year 1,2012-12-31,33,0.0,23.392,,1.712,Financials,Consumer Finance,136,0.0,92.58699999999999,7.5760000000000005,0.0
159,AXP,Year 2,2013-12-31,34,0.0,23.15,,1.832,Financials,Consumer Finance,136,0.0,92.58699999999999,7.5760000000000005,0.0
160,AXP,Year 3,2014-12-31,35,0.0,23.153,,2.044,Financials,Consumer Finance,136,0.0,92.58699999999999,7.5760000000000005,0.0
161,AXP,Year 4,2015-12-31,34,0.0,22.892,,1.988,Financials,Consumer Finance,136,0.0,92.58699999999999,7.5760000000000005,0.0
162,AYI,Year 1,2013-08-31,2,1.0,0.6076,,,Industrials,Electrical Components & Equipment,9,4.0,2.9908,0.0,0.0
163,AYI,Year 2,2014-08-31,2,1.0,0.6803,,,Industrials,Electrical Components & Equipment,9,4.0,2.9908,0.0,0.0
164,AYI,Year 3,2015-08-31,2,1.0,0.7569,,,Industrials,Electrical Components & Equipment,9,4.0,2.9908,0.0,0.0
165,AYI,Year 4,2016-08-31,3,1.0,0.946,,,Industrials,Electrical Components & Equipment,9,4.0,2.9908,0.0,0.0
166,AZO,Year 1,2013-08-31,9,4.0,2.967837,,,Consumer Discretionary,Specialty Stores,38,17.0,12.994842,0.0,0.0
167,AZO,Year 2,2014-08-30,9,4.0,3.104684,,,Consumer Discretionary,Specialty Stores,38,17.0,12.994842,0.0,0.0
168,AZO,Year 3,2015-08-29,10,4.0,3.37398,,,Consumer Discretionary,Specialty Stores,38,17.0,12.994842,0.0,0.0
169,AZO,Year 4,2016-08-27,10,5.0,3.548341,,,Consumer Discretionary,Specialty Stores,38,17.0,12.994842,0.0,0.0
170,BA,Year 1,2013-12-31,86,73.0,3.742,3.071,,Industrials,Aerospace & Defense,366,311.0,13.786,0.0,14.076
171,BA,Year 2,2014-12-31,90,76.0,3.48,3.047,,Industrials,Aerospace & Defense,366,311.0,13.786,0.0,14.076
172,BA,Year 3,2015-12-31,96,82.0,3.251,3.331,,Industrials,Aerospace & Defense,366,311.0,13.786,0.0,14.076
173,BA,Year 4,2016-12-31,94,80.0,3.313,4.627,,Industrials,Aerospace & Defense,366,311.0,13.786,0.0,14.076
174,BAC,Year 1,2012-12-31,100,3.0,70.829,,9.433,Financials,Banks,389,10.0,269.496,21.281,0.0
175,BAC,Year 2,2013-12-31,101,3.0,68.128,,4.642,Financials,Banks,389,10.0,269.496,21.281,0.0
176,BAC,Year 3,2014-12-31,95,2.0,74.181,,3.211,Financials,Banks,389,10.0,269.496,21.281,0.0
177,BAC,Year 4,2015-12-31,93,2.0,56.358,,3.995,Financials,Banks,389,10.0,269.496,21.281,0.0
178,BAX,Year 1,2012-12-31,13,6.0,3.283,1.081,,Health Care,Health Care Equipment,41,22.0,12.776,0.0,2.876
179,BAX,Year 2,2013-12-31,9,5.0,3.084,0.582,,Health Care,Health Care Equipment,41,22.0,12.776,0.0,2.876
180,BAX,Year 3,2014-12-31,10,6.0,3.315,0.61,,Health Care,Health Care Equipment,41,22.0,12.776,0.0,2.876
181,BAX,Year 4,2015-12-31,9,5.0,3.094,0.603,,Health Care,Health Care Equipment,41,22.0,12.776,0.0,2.876
182,BBBY,Year 1,2013-03-02,10,6.0,2.750537,,,Consumer Discretionary,Specialty Stores,44,26.0,11.972425,0.0,0.0
183,BBBY,Year 2,2014-03-01,11,6.0,2.950995,,,Consumer Discretionary,Specialty Stores,44,26.0,11.972425,0.0,0.0
184,BBBY,Year 3,2015-02-28,11,7.0,3.065486,,,Consumer Discretionary,Specialty Stores,44,26.0,11.972425,0.0,0.0
185,BBBY,Year 4,2016-02-27,12,7.0,3.205407,,,Consumer Discretionary,Specialty Stores,44,26.0,11.972425,0.0,0.0
186,BBT,Year 1,2012-12-31,10,0.0,5.65,,1.167,Financials,Banks,39,0.0,22.986,2.74,0.0
187,BBT,Year 2,2013-12-31,10,0.0,5.625,,0.698,Financials,Banks,39,0.0,22.986,2.74,0.0
188,BBT,Year 3,2014-12-31,9,0.0,5.715,,0.342,Financials,Banks,39,0.0,22.986,2.74,0.0
189,BBT,Year 4,2015-12-31,10,0.0,5.996,,0.533,Financials,Banks,39,0.0,22.986,2.74,0.0
190,BBY,Year 1,2012-03-03,45,34.0,8.755,,,Consumer Discretionary,Computer & Electronics Retail,164,126.0,32.071,0.0,0.0
191,BBY,Year 2,2014-02-01,40,31.0,8.106,,,Consumer Discretionary,Computer & Electronics Retail,164,126.0,32.071,0.0,0.0
192,BBY,Year 3,2015-01-31,40,31.0,7.592,,,Consumer Discretionary,Computer & Electronics Retail,164,126.0,32.071,0.0,0.0
193,BBY,Year 4,2016-01-30,39,30.0,7.618,,,Consumer Discretionary,Computer & Electronics Retail,164,126.0,32.071,0.0,0.0
194,BCR,Year 1,2013-12-31,3,1.0,0.9203,0.2957,,Health Care,Health Care Equipment,12,4.0,4.0158000000000005,0.0,1.1497
195,BCR,Year 2,2014-12-31,3,1.0,0.9815,0.302,,Health Care,Health Care Equipment,12,4.0,4.0158000000000005,0.0,1.1497
196,BCR,Year 3,2015-12-31,3,1.0,1.0121,0.2592,,Health Care,Health Care Equipment,12,4.0,4.0158000000000005,0.0,1.1497
197,BCR,Year 4,2016-12-31,3,1.0,1.1019,0.2928,,Health Care,Health Care Equipment,12,4.0,4.0158000000000005,0.0,1.1497
198,BDX,Year 1,2013-09-30,8,3.0,2.422,0.494,,Health Care,Health Care Equipment,38,18.0,10.135,0.0,2.504
199,BDX,Year 2,2014-09-30,8,4.0,2.145,0.55,,Health Care,Health Care Equipment,38,18.0,10.135,0.0,2.504
200,BDX,Year 3,2015-09-30,10,5.0,2.563,0.632,,Health Care,Health Care Equipment,38,18.0,10.135,0.0,2.504
